Disease_Ayurvedic_Name,Symptoms,Ayurvedic_Remedy,Ingredients,Preparation,Description
Malabandha,"Constipation, abdominal discomfort",Sukumar Ghrita,"Haridra (Turmeric), Daruharidra, and other herbs","Create using Haridra, Daruharidra, and other herbs.","Difficulty in passing stools, often resulting from factors like insufficient fiber intake, dehydration, or underlying conditions. Managing constipation involves dietary changes, increased fluid intake, lifestyle adjustments, and, if needed, medications or laxatives to promote regular bowel movements and prevent discomfort."
Raktapradara,"Abnormal vaginal bleeding, discharge",Indu kanta Ghrita,"Kshira (Milk), Shatapushpa (Fennel), and others","Make with Kshira, Shatapushpa, and other ingredients.","Excessive or irregular uterine bleeding during menstruation, which can result from hormonal imbalances, fibroids, or other underlying factors. Treatment depends on the cause and may include hormonal therapy, minimally invasive procedures, or surgical interventions to manage heavy menstrual flow and improve overall gynecological health. Regular gynecological check-ups are crucial for women with abnormal uterine bleeding."
Mutrakricchra,"Painful urination, urinary discomfort",Tiktaka Ghrita,"Guggulu, Neem, and various bitter herbs","Formulate with Guggulu, Neem, and various bitter herbs.","Challenges or discomfort in urination, often caused by conditions like urinary tract infections, enlarged prostate, or neurological issues. Treatment involves addressing the underlying cause through medications, catheterization, or surgical interventions to restore normal urinary function and prevent complications. Regular urological evaluations are essential for individuals with urinary retention."
Rajayakshma,"Tuberculosis, persistent cough",Triphala Ghrita,"Ghee, fruits, and various herbs","Prepare using ghee, fruits, and various herbs.","An infectious disease caused by Mycobacterium tuberculosis, primarily affecting the lungs but potentially spreading to other organs. TB treatment involves a combination of antibiotics over several months, close medical monitoring, and infection control measures to cure the disease and prevent its transmission. Early diagnosis and adherence to treatment are critical for TB management."
Daha,"Burning sensation, heat",Ajamodadi Churna,"Shatavari (Asparagus racemosus), Ghee, and others","Create with Shatavari, ghee, and other ingredients.","A burning or fiery sensation in various parts of the body, often associated with inflammation, irritation, or heat-related conditions. Treatment focuses on addressing the underlying cause, such as cooling measures, anti-inflammatory medications, and lifestyle adjustments to alleviate the burning sensation and promote comfort. Identifying triggers is crucial for managing chronic burning sensations."
Pliharoga,"Enlarged spleen, abdominal pain",Avipattikara Churna,"Ghee, Yastimadhu (Licorice), and other herbs","Make with ghee, Yastimadhu, and other herbs.","Conditions affecting the spleen, such as splenomegaly (enlarged spleen) or splenic disorders. Treatment depends on the specific disorder and may involve medication, lifestyle changes, or surgical interventions to manage symptoms and improve spleen function. Regular medical monitoring is important for individuals with spleen-related diseases."
Raktapitta,"Bleeding disorders, nosebleeds",Balachaturbhadra Churna,"Ghee, Indukanta (Tinospora cordifolia), and more","Formulate with ghee, Indukanta, and more.","Conditions characterized by excessive or abnormal bleeding, often accompanied by red rashes or skin discoloration, such as hemophilia or von Willebrand disease. Managing bleeding disorders includes medications, blood transfusions, and lifestyle adjustments to prevent injuries that could lead to bleeding episodes. Regular medical evaluations and monitoring are essential for individuals with bleeding disorders."
Medhya,"Cognitive issues, memory problems",Bilvadi Churna,"Guggulu, Neem, and other herbs","Prepare with Guggulu, Neem, and other herbs.","Conditions affecting cognitive function, memory, and mental capacity, such as dementia, Alzheimer's disease, or intellectual disabilities. Management varies based on the specific disorder and may include cognitive therapies, medications, and supportive care to optimize cognitive function and quality of life. Early diagnosis and intervention are crucial for individuals with these disorders."
Vishamajvara,"Irregular fever, chills",Dadimastak Churna,"Triphala, Ghee, and various supporting herbs","Create with Triphala, ghee, and supporting herbs.","Fever that comes and goes, often with irregular temperature spikes, which can result from various infections, including malaria and viral illnesses. Identifying the underlying cause and treating the infection with appropriate medications is essential for fever management. Monitoring body temperature and seeking medical attention in severe cases are important for timely intervention."
Manodaurbalya,"Mental weakness, lack of focus","Dashanasanskara
Churna","Ajamoda (Ajowan), Chitraka (Plumbago zeylanica),","Make using Ajamoda, Chitraka, and other spices.","A state of reduced mental strength, clarity, or cognitive function, often associated with fatigue, stress, or neurological conditions. Managing mental weakness involves addressing the underlying causes, mental health support, cognitive training, and lifestyle adjustments to improve mental resilience and well-being. Identifying stressors and triggers is crucial for managing mental debility."
Ojakshya,"Fatigue, weakness",Eladi Churna,and other spices,Formulate with other ingredients.,"A persistent sense of fatigue, weakness, and low energy levels, which can result from various factors like chronic illness, stress, or lifestyle factors. Managing a lack of vitality includes optimizing nutrition, regular exercise, stress management, and addressing underlying health issues to boost energy levels and overall vitality. Identifying lifestyle factors contributing to low energy is essential for improving vitality."
Tvakroga,"Skin disorders, rash",Hingvashtaka Churna,"Amla (Indian Gooseberry), Haritaki, Vibhitaki,","Prepare with Amla, Haritaki, Vibhitaki, and other ingredients.","Various skin conditions affecting the appearance, texture, or function of the skin, such as acne, dermatitis, or skin cancer. Treatment ranges from topical creams and lifestyle changes to surgical procedures, depending on the specific disorder. Regular skin screenings are vital for early detection and management of skin diseases."
Mukhapaka,"Mouth sores, oral discomfort",Lavanabhaskara Churna/ Bhaskarlavan churna,and other ingredients,Make with other ingredients.,"Painful sores or lesions in the oral cavity, often caused by factors like viral infections, trauma, or autoimmune conditions like aphthous stomatitis. Treatment includes topical medications, oral rinses, and addressing the underlying cause to alleviate discomfort and promote oral healing. Identifying triggers and maintaining good oral hygiene are crucial for managing oral ulcers."
Hridya,"Heart issues, chest discomfort","Nisha-Amalaki
Churna","Bala (Sida cordifolia), Chaturbhadra (Four-ingredients), and supporting herbs","Create with Bala, Chaturbhadra, and supporting herbs.","A broad category encompassing various heart-related conditions, including coronary artery disease, heart failure, and arrhythmias. Management involves medications, lifestyle changes, and in some cases, surgical interventions to improve heart health and prevent complications. Regular cardiac screenings are essential for early detection and prevention."
Pittajvara,"Fever, digestive issues",Pushyanuga Churna,"Pushyanuga (a combination of several plant parts), Dry Ginger (Sonth), Cinnamon (Dalchini), Cardamom (Elaichi), Black Pepper (Kali Mirch).","To prepare Pushyanuga Churna at home, gather, dry, grind (separately), mix (in specific proportions), and store (in an airtight container) the ingredients: Pushyanuga, dry ginger, cinnamon, cardamom, and black pepper.","Fever resulting from an excess of the Pitta dosha, often accompanied by symptoms like heat intolerance, irritability, and inflammation. Balancing Pitta through cooling measures, hydration, and herbal remedies is essential for fever management in Ayurveda. Identifying and addressing the root cause of Pitta imbalance is crucial for preventing recurrent fevers."
Udara,"Abdominal pain, bloating",Panchanimba Churna,"Bilva (Bael), Dhataki, and other herbs","Formulate with Bilva, Dhataki, and other herbs.","Conditions affecting the abdominal or stomach area, such as gastritis, ulcers, or irritable bowel syndrome (IBS). Treatment varies based on the specific disorder and may involve medications, dietary changes, or lifestyle modifications to manage symptoms and promote gastrointestinal health. Regular medical evaluations are important for individuals with abdominal and stomach disorders."
Badhirya,"Hearing loss, auditory issues",Sitopaladi Churna,"Dadima (Pomegranate), Musta, and other herbs","Prepare with Dadima, Musta, and other herbs.","Hearing loss or impairment of varying degrees, often due to factors like age, genetics, noise exposure, or ear infections. Managing hearing impairment includes hearing aids, cochlear implants, assistive devices, and communication therapies to improve auditory function and quality of life. Early diagnosis and intervention are crucial for individuals with hearing loss."
